------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoDesplazamiento
3.7837 1.4668 4.4730 3.1900 3.2284 0.9624
4.0410 1.4644 4.4312 3.4050 3.3354 0.9724
4.0166 1.4884 4.3715 3.5884 3.3662 0.9825
3.7306 1.5377 4.2926 3.7330 3.3234 0.9925
3.2642 1.6570 4.2199 3.8379 3.2447 1.0025
2.8914 1.7347 4.1990 3.9010 3.1815 1.0125
2.7700 1.7357 4.1558 4.1427 3.2011 1.0226
2.6629 1.8662 4.0891 4.4449 3.2658 1.0326
2.6187 1.9451 4.0004 4.6741 3.3096 1.0426
2.6568 2.1402 3.8924 4.8743 3.3910 1.0526
2.8931 2.3062 3.7675 5.0118 3.4947 1.0627
3.0914 2.3970 3.6295 5.0627 3.5451 1.0727
3.1931 2.4250 3.4832 5.0432 3.5361 1.0827
3.3350 2.3932 3.3326 4.9594 3.5050 1.0927
3.5612 2.4779 3.1826 4.8337 3.5138 1.1028
3.6835 2.5436 3.0380 4.6460 3.4778 1.1128
4.0625 2.5597 2.9033 4.3946 3.4800 1.1228
4.4774 2.5204 2.7815 4.0975 3.4692 1.1328
4.7146 2.4449 2.6752 3.7834 3.4045 1.1429
4.7659 2.3166 2.6849 3.4782 3.3114 1.1529
4.6605 2.1414 2.5548 3.1943 3.1377 1.1629
5.2028 1.9331 2.4619 2.9913 3.1473 1.1729
5.3692 1.7646 2.5759 2.9707 3.1701 1.1830
5.1811 1.7442 2.8167 2.9392 3.1703 1.1930
4.7053 1.7185 2.8538 2.8982 3.0440 1.2030
4.2048 1.6885 2.9263 2.8494 2.9173 1.2130
4.2089 1.6548 2.8437 2.7935 2.8752 1.2231
4.1023 1.6161 2.8154 2.7317 2.8164 1.2331
3.8619 1.5725 2.7703 2.8286 2.7583 1.2431
3.7989 1.5237 2.6541 2.9509 2.7319 1.2531
3.9046 1.4701 2.5200 3.0690 2.7409 1.2632
3.8758 1.4234 2.4807 3.1760 2.7390 1.2732
3.8636 1.4064 2.4901 3.2654 2.7564 1.2832
3.9446 1.3855 2.5896 3.3386 2.8146 1.2932
4.0443 1.5317 2.9635 3.4018 2.9853 1.3033
4.1657 1.6352 3.3920 3.4430 3.1590 1.3133
4.3518 1.6520 3.7056 3.4554 3.2912 1.3233
4.5485 1.5884 3.8428 3.5541 3.3834 1.3333
4.8355 1.5939 3.8423 3.6223 3.4735 1.3434
