------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoVelocidad
24.7022 9.5762 29.2028 20.8263 21.0769 0.9624
26.1099 9.4622 28.6315 22.0006 21.5511 0.9724
25.6874 9.5186 27.9576 22.9493 21.5282 0.9825
23.6174 9.7345 27.1753 23.6328 21.0400 0.9925
20.4581 10.3851 26.4479 24.0537 20.3362 1.0025
17.9424 10.7643 26.0566 24.2075 19.7427 1.0125
17.0207 10.6651 25.5357 25.4553 19.6692 1.0226
16.2037 11.3554 24.8821 27.0471 19.8721 1.0326
15.7813 11.7220 24.1079 28.1681 19.9448 1.0426
15.8586 12.7752 23.2340 29.0949 20.2407 1.0526
17.1064 13.6361 22.2762 29.6333 20.6630 1.0627
18.1075 14.0402 21.2594 29.6546 20.7654 1.0727
18.5304 14.0730 20.2140 29.2667 20.5210 1.0827
19.1762 13.7607 19.1623 28.5162 20.1538 1.0927
20.2904 14.1182 18.1336 27.5408 20.0208 1.1028
20.7983 14.3622 17.1534 26.2328 19.6367 1.1128
22.7335 14.3241 16.2468 24.5923 19.4742 1.1228
24.8339 13.9794 15.4272 22.7267 19.2418 1.1328
25.9198 13.4416 14.7077 20.8001 18.7173 1.1429
25.9742 12.6255 14.6324 18.9559 18.0470 1.1529
25.1805 11.5699 13.8033 17.2585 16.9531 1.1629
27.8705 10.3553 13.1878 16.0238 16.8594 1.1729
28.5183 9.3727 13.6819 15.7785 16.8378 1.1830
27.2876 9.1864 14.8349 15.4803 16.6973 1.1930
24.5751 8.9757 14.9051 15.1372 15.8983 1.2030
21.7800 8.7458 15.1573 14.7592 15.1106 1.2130
21.6223 8.5012 14.6087 14.3510 14.7708 1.2231
20.9035 8.2347 14.3461 13.9196 14.3510 1.2331
19.5199 7.9481 14.0025 14.2968 13.9418 1.2431
19.0474 7.6397 13.3078 14.7959 13.6977 1.2531
19.4221 7.3123 12.5352 15.2659 13.6339 1.2632
19.1272 7.0247 12.2424 15.6735 13.5170 1.2732
18.9179 6.8863 12.1928 15.9891 13.4965 1.2832
19.1647 6.7314 12.5817 16.2205 13.6746 1.2932
19.4983 7.3844 14.2872 16.4004 14.3926 1.3033
19.9301 7.8233 16.2286 16.4723 15.1136 1.3133
20.6626 7.8437 17.5944 16.4064 15.6268 1.3233
21.4343 7.4851 18.1087 16.7483 15.9441 1.3333
22.6166 7.4549 17.9711 16.9423 16.2462 1.3434
24.0216 7.3194 17.6020 16.2645 16.3019 1.3534
25.0511 7.1001 17.4165 15.1396 16.1768 1.3634
25.1892 6.8810 17.6069 14.5364 16.0534 1.3734
24.3054 6.7156 18.0461 13.8279 15.7238 1.3835
22.6228 6.5327 18.7166 13.0319 15.2260 1.3935
20.8776 6.9474 19.3969 12.1637 14.8464 1.4035
20.8599 7.1933 20.0011 11.2384 14.8232 1.4135
20.8191 7.2853 21.5117 10.8068 15.1057 1.4236
20.8605 7.2023 22.4404 11.0982 15.4003 1.4336
20.9792 7.0910 22.2845 11.3599 15.4286 1.4436
20.9129 7.1247 21.4124 11.5909 15.2602 1.4536
20.4768 7.4172 20.3923 11.7921 15.0196 1.4637
19.4801 7.9613 19.5336 11.9620 14.7343 1.4737
17.8294 8.6459 18.7219 12.1066 14.3260 1.4837
18.2429 9.3157 17.9897 12.2341 14.4456 1.4937
19.1782 9.8301 17.2153 12.3780 14.6504 1.5038
19.6909 10.1092 16.3011 12.5498 14.6627 1.5138
21.0504 10.1454 15.2376 12.7172 14.7876 1.5238
21.8981 9.9703 14.7993 12.8826 14.8876 1.5338
22.1408 9.5678 15.2035 13.0356 14.9869 1.5439
21.6987 9.0059 15.6492 13.2331 14.8967 1.5539
22.8891 8.8841 16.0507 13.5415 15.3414 1.5639
24.8235 9.1133 16.4203 13.8223 16.0448 1.5739
25.7153 9.3505 16.6675 14.0747 16.4520 1.5840
25.6827 9.5900 16.8700 14.2982 16.6102 1.5940
24.9821 9.8335 17.9928 14.4925 16.8252 1.6040
24.0009 10.0821 19.2933 14.6577 17.0085 1.6140
23.1161 10.3339 20.3221 15.0657 17.2095 1.6241
23.2620 10.5865 21.0793 15.9457 17.7184 1.6341
23.5906 10.8336 21.5165 16.7970 18.1844 1.6441
24.2088 11.3711 21.7802 17.7271 18.7718 1.6541
24.7563 12.5331 21.7517 18.6458 19.4217 1.6642
25.0227 13.5978 21.2020 19.4528 19.8188 1.6742
25.3288 14.4842 20.6257 20.1072 20.1365 1.6842
25.0273 15.1298 20.9786 20.5858 20.4304 1.6942
24.0842 15.4859 21.7120 21.1351 20.6043 1.7043
22.6360 15.5610 22.0740 22.4851 20.6890 1.7143
21.4442 15.4277 22.0678 23.6867 20.6566 1.7243
20.2685 15.0915 21.7039 24.5716 20.4089 1.7343
18.9193 14.7341 20.9801 25.1135 19.9367 1.7444
17.5630 14.2603 19.8797 25.3942 19.2743 1.7544
16.3822 13.8026 19.3126 25.6525 18.7875 1.7644
16.0324 14.0253 19.1843 25.9862 18.8071 1.7744
