------------------------------------------------------------------------------------------------------------------------------------
                                           "UNIVERSIDAD TÉCNICA PARTICULAR DE LOJA"
                                                TITULACIÓN DE INGENIRÍA CIVIL
                                        LABORATORIO VIRTUAL DE INGENIERÍA SÍSMICA (VLEE)

LABORATORIO: Dinámica de estructuras
EXPERMIENTO: Espectro de diseño
CARACTERÍSTICA DEL EXPERIMENTO:
Obtiene el espectro de diseño basado en el criterio del promedio de "n" espectros de respuesta
HORA-FECHA:
04-Aug-2016 16:15:37
-------------------------------------------------------------------------------------------------------------------------------------
DATOS DE SALIDA:
ESPECTRO DE PseudoAceleración
0.1644 0.0637 0.1943 0.1386 0.1403 0.9624
0.1720 0.0623 0.1886 0.1449 0.1419 0.9724
0.1675 0.0621 0.1823 0.1496 0.1403 0.9825
0.1524 0.0628 0.1754 0.1525 0.1358 0.9925
0.1307 0.0663 0.1690 0.1537 0.1299 1.0025
0.1135 0.0681 0.1648 0.1531 0.1249 1.0125
0.1066 0.0668 0.1599 0.1594 0.1232 1.0226
0.1005 0.0704 0.1543 0.1678 0.1233 1.0326
0.0969 0.0720 0.1481 0.1730 0.1225 1.0426
0.0965 0.0777 0.1414 0.1770 0.1232 1.0526
0.1031 0.0822 0.1343 0.1786 0.1245 1.0627
0.1081 0.0838 0.1269 0.1771 0.1240 1.0727
0.1096 0.0833 0.1196 0.1731 0.1214 1.0827
0.1124 0.0807 0.1123 0.1671 0.1181 1.0927
0.1178 0.0820 0.1053 0.1600 0.1163 1.1028
0.1197 0.0827 0.0987 0.1510 0.1130 1.1128
0.1297 0.0817 0.0927 0.1403 0.1111 1.1228
0.1404 0.0790 0.0872 0.1285 0.1088 1.1328
0.1453 0.0753 0.0824 0.1166 0.1049 1.1429
0.1443 0.0701 0.0813 0.1053 0.1003 1.1529
0.1387 0.0637 0.0760 0.0951 0.0934 1.1629
0.1522 0.0565 0.0720 0.0875 0.0921 1.1729
0.1544 0.0507 0.0741 0.0854 0.0912 1.1830
0.1465 0.0493 0.0796 0.0831 0.0896 1.1930
0.1308 0.0478 0.0794 0.0806 0.0846 1.2030
0.1150 0.0462 0.0800 0.0779 0.0798 1.2130
0.1132 0.0445 0.0765 0.0752 0.0774 1.2231
0.1086 0.0428 0.0745 0.0723 0.0745 1.2331
0.1006 0.0410 0.0721 0.0737 0.0718 1.2431
0.0974 0.0390 0.0680 0.0756 0.0700 1.2531
0.0985 0.0371 0.0636 0.0774 0.0691 1.2632
0.0962 0.0353 0.0616 0.0788 0.0680 1.2732
0.0944 0.0344 0.0609 0.0798 0.0674 1.2832
0.0949 0.0333 0.0623 0.0803 0.0677 1.2932
0.0958 0.0363 0.0702 0.0806 0.0707 1.3033
0.0972 0.0382 0.0791 0.0803 0.0737 1.3133
0.1000 0.0380 0.0852 0.0794 0.0756 1.3233
0.1030 0.0360 0.0870 0.0805 0.0766 1.3333
0.1078 0.0355 0.0857 0.0808 0.0775 1.3434
0.1137 0.0346 0.0833 0.0770 0.0771 1.3534
0.1177 0.0334 0.0818 0.0711 0.0760 1.3634
0.1175 0.0321 0.0821 0.0678 0.0749 1.3734
0.1125 0.0311 0.0835 0.0640 0.0728 1.3835
0.1040 0.0300 0.0860 0.0599 0.0700 1.3935
0.0953 0.0317 0.0885 0.0555 0.0678 1.4035
0.0945 0.0326 0.0906 0.0509 0.0672 1.4135
0.0937 0.0328 0.0968 0.0486 0.0680 1.4236
0.0932 0.0322 0.1003 0.0496 0.0688 1.4336
0.0931 0.0315 0.0989 0.0504 0.0685 1.4436
0.0921 0.0314 0.0943 0.0511 0.0672 1.4536
0.0896 0.0325 0.0892 0.0516 0.0657 1.4637
0.0847 0.0346 0.0849 0.0520 0.0640 1.4737
0.0770 0.0373 0.0808 0.0523 0.0618 1.4837
0.0782 0.0399 0.0771 0.0525 0.0619 1.4937
0.0817 0.0419 0.0733 0.0527 0.0624 1.5038
0.0833 0.0428 0.0690 0.0531 0.0620 1.5138
0.0885 0.0426 0.0640 0.0535 0.0622 1.5238
0.0914 0.0416 0.0618 0.0538 0.0622 1.5338
0.0919 0.0397 0.0631 0.0541 0.0622 1.5439
0.0894 0.0371 0.0645 0.0545 0.0614 1.5539
0.0937 0.0364 0.0657 0.0555 0.0628 1.5639
0.1010 0.0371 0.0668 0.0562 0.0653 1.5739
0.1040 0.0378 0.0674 0.0569 0.0665 1.5840
0.1032 0.0385 0.0678 0.0575 0.0667 1.5940
0.0998 0.0393 0.0718 0.0579 0.0672 1.6040
0.0952 0.0400 0.0766 0.0582 0.0675 1.6140
0.0912 0.0408 0.0801 0.0594 0.0679 1.6241
0.0912 0.0415 0.0826 0.0625 0.0694 1.6341
0.0919 0.0422 0.0838 0.0654 0.0708 1.6441
0.0937 0.0440 0.0843 0.0686 0.0727 1.6541
0.0953 0.0482 0.0837 0.0718 0.0747 1.6642
0.0957 0.0520 0.0811 0.0744 0.0758 1.6742
0.0963 0.0551 0.0784 0.0765 0.0766 1.6842
0.0946 0.0572 0.0793 0.0778 0.0772 1.6942
0.0905 0.0582 0.0816 0.0794 0.0774 1.7043
0.0846 0.0581 0.0825 0.0840 0.0773 1.7143
0.0797 0.0573 0.0820 0.0880 0.0767 1.7243
0.0749 0.0557 0.0802 0.0907 0.0754 1.7343
0.0695 0.0541 0.0770 0.0922 0.0732 1.7444
0.0641 0.0521 0.0726 0.0927 0.0704 1.7544
0.0595 0.0501 0.0701 0.0931 0.0682 1.7644
0.0579 0.0506 0.0692 0.0938 0.0679 1.7744
0.0590 0.0509 0.0682 0.0939 0.0680 1.7845
0.0602 0.0509 0.0667 0.0930 0.0677 1.7945
0.0615 0.0506 0.0650 0.0911 0.0670 1.8045
0.0631 0.0500 0.0629 0.0886 0.0661 1.8145
0.0653 0.0491 0.0605 0.0870 0.0655 1.8246
0.0676 0.0480 0.0580 0.0878 0.0654 1.8346
0.0730 0.0465 0.0556 0.0878 0.0657 1.8446
0.0781 0.0450 0.0530 0.0866 0.0657 1.8546
0.0836 0.0434 0.0515 0.0843 0.0657 1.8647
0.0886 0.0415 0.0520 0.0812 0.0658 1.8747
0.0927 0.0398 0.0527 0.0773 0.0656 1.8847
0.0954 0.0378 0.0539 0.0735 0.0651 1.8947
0.0968 0.0360 0.0549 0.0696 0.0643 1.9048
0.0997 0.0345 0.0557 0.0654 0.0638 1.9148
0.1013 0.0327 0.0564 0.0610 0.0629 1.9248
0.1016 0.0338 0.0568 0.0585 0.0627 1.9348
0.1005 0.0348 0.0571 0.0572 0.0624 1.9449
0.0981 0.0353 0.0573 0.0558 0.0616 1.9549
0.0948 0.0355 0.0575 0.0544 0.0605 1.9649
0.0925 0.0357 0.0575 0.0530 0.0597 1.9749
0.0888 0.0356 0.0574 0.0515 0.0583 1.9850
0.0843 0.0351 0.0570 0.0500 0.0566 1.9950
0.0833 0.0348 0.0564 0.0484 0.0558 2.0050
0.0821 0.0350 0.0559 0.0468 0.0550 2.0150
0.0807 0.0352 0.0552 0.0452 0.0541 2.0251
0.0799 0.0356 0.0543 0.0436 0.0533 2.0351
0.0788 0.0360 0.0530 0.0420 0.0525 2.0451
0.0775 0.0364 0.0515 0.0404 0.0514 2.0551
0.0760 0.0367 0.0497 0.0388 0.0503 2.0652
0.0742 0.0369 0.0476 0.0373 0.0490 2.0752
0.0723 0.0370 0.0453 0.0358 0.0476 2.0852
0.0702 0.0388 0.0427 0.0343 0.0465 2.0952
0.0682 0.0407 0.0418 0.0329 0.0459 2.1053
0.0663 0.0426 0.0414 0.0339 0.0461 2.1153
0.0644 0.0443 0.0409 0.0348 0.0461 2.1253
0.0624 0.0458 0.0403 0.0355 0.0460 2.1353
0.0603 0.0469 0.0402 0.0359 0.0458 2.1454
0.0581 0.0476 0.0404 0.0362 0.0456 2.1554
0.0557 0.0480 0.0401 0.0369 0.0452 2.1654
0.0590 0.0484 0.0401 0.0379 0.0464 2.1754
0.0631 0.0485 0.0417 0.0387 0.0480 2.1855
0.0665 0.0481 0.0433 0.0391 0.0493 2.1955
0.0693 0.0474 0.0451 0.0393 0.0503 2.2055
0.0714 0.0462 0.0464 0.0391 0.0508 2.2155
0.0729 0.0445 0.0470 0.0386 0.0507 2.2256
0.0737 0.0423 0.0467 0.0378 0.0502 2.2356
0.0740 0.0398 0.0458 0.0371 0.0492 2.2456
0.0740 0.0372 0.0453 0.0369 0.0483 2.2556
0.0736 0.0358 0.0447 0.0366 0.0477 2.2657
0.0729 0.0363 0.0448 0.0362 0.0476 2.2757
0.0720 0.0369 0.0446 0.0358 0.0473 2.2857
0.0717 0.0373 0.0440 0.0354 0.0471 2.2957
0.0714 0.0377 0.0432 0.0349 0.0468 2.3058
0.0710 0.0381 0.0423 0.0346 0.0465 2.3158
0.0705 0.0386 0.0413 0.0346 0.0463 2.3258
0.0699 0.0390 0.0403 0.0346 0.0460 2.3358
0.0691 0.0393 0.0394 0.0346 0.0456 2.3459
0.0684 0.0395 0.0387 0.0346 0.0453 2.3559
0.0676 0.0396 0.0381 0.0346 0.0450 2.3659
0.0669 0.0397 0.0377 0.0346 0.0447 2.3759
0.0662 0.0397 0.0376 0.0347 0.0445 2.3860
0.0655 0.0396 0.0377 0.0347 0.0444 2.3960
0.0647 0.0395 0.0380 0.0346 0.0442 2.4060
0.0639 0.0394 0.0384 0.0345 0.0441 2.4160
0.0631 0.0393 0.0391 0.0344 0.0440 2.4261
0.0622 0.0392 0.0398 0.0341 0.0438 2.4361
0.0612 0.0394 0.0406 0.0337 0.0437 2.4461
0.0603 0.0395 0.0414 0.0332 0.0436 2.4561
0.0593 0.0397 0.0422 0.0334 0.0436 2.4662
0.0583 0.0397 0.0430 0.0341 0.0438 2.4762
0.0574 0.0398 0.0437 0.0346 0.0439 2.4862
0.0565 0.0400 0.0443 0.0347 0.0439 2.4962
0.0557 0.0401 0.0448 0.0346 0.0438 2.5063
0.0550 0.0402 0.0451 0.0342 0.0436 2.5163
0.0543 0.0402 0.0453 0.0336 0.0434 2.5263
0.0538 0.0401 0.0453 0.0335 0.0432 2.5363
0.0533 0.0399 0.0451 0.0331 0.0429 2.5464
0.0530 0.0397 0.0452 0.0326 0.0426 2.5564
0.0526 0.0394 0.0457 0.0317 0.0424 2.5664
0.0523 0.0392 0.0462 0.0307 0.0421 2.5764
0.0519 0.0390 0.0465 0.0295 0.0417 2.5865
0.0515 0.0389 0.0467 0.0282 0.0413 2.5965
0.0509 0.0388 0.0468 0.0279 0.0411 2.6065
0.0502 0.0386 0.0469 0.0277 0.0409 2.6165
0.0494 0.0385 0.0471 0.0273 0.0406 2.6266
0.0488 0.0383 0.0472 0.0268 0.0403 2.6366
